,video,method,metric_name,metric_value
55,drift-turn,Our Result,SSIM,0.9648496982
56,rollerblade,Our Result,SSIM,0.9331930929
57,kid-football,Our Result,SSIM,0.9607045486
58,drift-chicane,Our Result,SSIM,0.9276223872
59,lucia,Our Result,SSIM,0.9818270508
60,color-run,Our Result,SSIM,0.9654843736
61,lab-coat,Our Result,SSIM,0.950981452
62,hockey,Our Result,SSIM,0.9767956007
63,elephant,Our Result,SSIM,0.9735703029
64,dog-gooses,Our Result,SSIM,0.9628654736
65,planes-water,Our Result,SSIM,0.9598142055
66,india,Our Result,SSIM,0.9673610937
67,dog,Our Result,SSIM,0.9604122072
68,swing,Our Result,SSIM,0.9740578942
69,kite-surf,Our Result,SSIM,0.9471630107
70,mbike-trick,Our Result,SSIM,0.9611576849
71,pigs,Our Result,SSIM,0.9627534138
72,breakdance-flare,Our Result,SSIM,0.9580225234
1,boxing-fisheye,Lee et al.,SSIM,0.9276224155
2,longboard,Lee et al.,SSIM,0.9055311201
3,lady-running,Lee et al.,SSIM,0.9287626276
4,cat-girl,Lee et al.,SSIM,0.8990953385
5,walking,Lee et al.,SSIM,0.9231673185
6,scooter-black,Lee et al.,SSIM,0.9013147052
7,dogs-scale,Lee et al.,SSIM,0.9417595872
8,rallye,Lee et al.,SSIM,0.8766413236
9,motorbike,Lee et al.,SSIM,0.921083479
10,drift-straight,Lee et al.,SSIM,0.9119589747
11,mallard-water,Lee et al.,SSIM,0.8869883767
12,scooter-board,Lee et al.,SSIM,0.9485328694
13,bear,Lee et al.,SSIM,0.8809299752
14,varanus-cage,Lee et al.,SSIM,0.9081192163
15,horsejump-low,Lee et al.,SSIM,0.8744139771
16,schoolgirls,Lee et al.,SSIM,0.830559563
17,car-turn,Lee et al.,SSIM,0.9043304472
18,motocross-jump,Lee et al.,SSIM,0.9518108206
19,car-shadow,Lee et al.,SSIM,0.9285876458
20,tennis,Lee et al.,SSIM,0.9327552771
21,crossing,Lee et al.,SSIM,0.865310737
22,bus,Lee et al.,SSIM,0.9113119971
23,motocross-bumps,Lee et al.,SSIM,0.9220689274
24,train,Lee et al.,SSIM,0.8708050007
25,camel,Lee et al.,SSIM,0.8856963159
26,breakdance,Lee et al.,SSIM,0.8701236238
27,mallard-fly,Lee et al.,SSIM,0.8917513581
28,upside-down,Lee et al.,SSIM,0.9175552726
29,classic-car,Lee et al.,SSIM,0.9239998744
30,gold-fish,Lee et al.,SSIM,0.9366375598
31,bike-packing,Lee et al.,SSIM,0.8999732601
32,paragliding-launch,Lee et al.,SSIM,0.9131115764
33,bmx-trees,Lee et al.,SSIM,0.9189966957
34,flamingo,Lee et al.,SSIM,0.9134926365
35,tractor-sand,Lee et al.,SSIM,0.9331192597
36,dogs-jump,Lee et al.,SSIM,0.9429121583
37,horsejump-high,Lee et al.,SSIM,0.9216484137
38,dog-agility,Lee et al.,SSIM,0.9046638723
39,disc-jockey,Lee et al.,SSIM,0.9805068736
40,hike,Lee et al.,SSIM,0.8669347685
41,miami-surf,Lee et al.,SSIM,0.9633567753
42,dance-jump,Lee et al.,SSIM,0.898906836
43,lindy-hop,Lee et al.,SSIM,0.9242876098
44,tuk-tuk,Lee et al.,SSIM,0.9139909582
45,judo,Lee et al.,SSIM,0.9426202598
46,blackswan,Lee et al.,SSIM,0.897648547
47,boat,Lee et al.,SSIM,0.9272364815
48,car-roundabout,Lee et al.,SSIM,0.911870851
49,loading,Lee et al.,SSIM,0.9226352795
50,night-race,Lee et al.,SSIM,0.9523238533
51,dancing,Lee et al.,SSIM,0.8905583487
52,paragliding,Lee et al.,SSIM,0.9224334054
53,kite-walk,Lee et al.,SSIM,0.9350201054
54,libby,Lee et al.,SSIM,0.9096083206
55,drift-turn,Lee et al.,SSIM,0.9093177659
56,rollerblade,Lee et al.,SSIM,0.8944498466
57,kid-football,Lee et al.,SSIM,0.9401052175
58,drift-chicane,Lee et al.,SSIM,0.9336861861
59,lucia,Lee et al.,SSIM,0.8839346245
60,color-run,Lee et al.,SSIM,0.9567689792
61,lab-coat,Lee et al.,SSIM,0.9143058704
62,hockey,Lee et al.,SSIM,0.9327458069
63,elephant,Lee et al.,SSIM,0.9112466419
64,dog-gooses,Lee et al.,SSIM,0.9058280699
65,planes-water,Lee et al.,SSIM,0.9682279684
66,india,Lee et al.,SSIM,0.9331196745
67,dog,Lee et al.,SSIM,0.8966910927
68,swing,Lee et al.,SSIM,0.8995835805
69,kite-surf,Lee et al.,SSIM,0.9287715511
70,mbike-trick,Lee et al.,SSIM,0.9327287552
71,pigs,Lee et al.,SSIM,0.903235926
72,breakdance-flare,Lee et al.,SSIM,0.8867908839
1,boxing-fisheye,Huang et al.,SSIM,0.9235288415
2,longboard,Huang et al.,SSIM,0.9214885444
3,lady-running,Huang et al.,SSIM,0.9404738441
4,cat-girl,Huang et al.,SSIM,0.908801057
5,walking,Huang et al.,SSIM,0.9086328721
6,scooter-black,Huang et al.,SSIM,0.908393866
7,dogs-scale,Huang et al.,SSIM,0.9183026233
8,rallye,Huang et al.,SSIM,0.8754428516
9,motorbike,Huang et al.,SSIM,0.9119710949
10,drift-straight,Huang et al.,SSIM,0.8999966145
11,mallard-water,Huang et al.,SSIM,0.8735384499
12,scooter-board,Huang et al.,SSIM,0.9259402473
13,bear,Huang et al.,SSIM,0.9508556583
14,varanus-cage,Huang et al.,SSIM,0.9163797452
15,horsejump-low,Huang et al.,SSIM,0.916192055
16,schoolgirls,Huang et al.,SSIM,0.8324174004
17,car-turn,Huang et al.,SSIM,0.9227084705
18,motocross-jump,Huang et al.,SSIM,0.9178667985
19,car-shadow,Huang et al.,SSIM,0.9348405837
20,tennis,Huang et al.,SSIM,0.9200158569
21,crossing,Huang et al.,SSIM,0.8526091439
22,bus,Huang et al.,SSIM,0.9241366759
23,motocross-bumps,Huang et al.,SSIM,0.9109721751
24,train,Huang et al.,SSIM,0.9368157837
25,camel,Huang et al.,SSIM,0.9440868995
26,breakdance,Huang et al.,SSIM,0.8493663243
27,mallard-fly,Huang et al.,SSIM,0.9042260103
28,upside-down,Huang et al.,SSIM,0.9008113812
29,classic-car,Huang et al.,SSIM,0.9010823479
30,gold-fish,Huang et al.,SSIM,0.9090838364
31,bike-packing,Huang et al.,SSIM,0.8871144554
32,paragliding-launch,Huang et al.,SSIM,0.9325206928
33,bmx-trees,Huang et al.,SSIM,0.9432038627
34,flamingo,Huang et al.,SSIM,0.9311461133
35,tractor-sand,Huang et al.,SSIM,0.9261391757
36,dogs-jump,Huang et al.,SSIM,0.9280333562
37,horsejump-high,Huang et al.,SSIM,0.9327600284
38,dog-agility,Huang et al.,SSIM,0.8746352441
39,disc-jockey,Huang et al.,SSIM,0.9501104056
40,hike,Huang et al.,SSIM,0.953694114
41,miami-surf,Huang et al.,SSIM,0.9475019009
42,dance-jump,Huang et al.,SSIM,0.9343944542
43,lindy-hop,Huang et al.,SSIM,0.9053709992
44,tuk-tuk,Huang et al.,SSIM,0.8995089627
45,judo,Huang et al.,SSIM,0.9273064557
46,blackswan,Huang et al.,SSIM,0.9286458705
47,boat,Huang et al.,SSIM,0.9175559306
48,car-roundabout,Huang et al.,SSIM,0.9304132362
49,loading,Huang et al.,SSIM,0.9363538726
50,night-race,Huang et al.,SSIM,0.9463448854
51,dancing,Huang et al.,SSIM,0.8715090417
52,paragliding,Huang et al.,SSIM,0.9517361843
53,kite-walk,Huang et al.,SSIM,0.9180184295
54,libby,Huang et al.,SSIM,0.9297626464
55,drift-turn,Huang et al.,SSIM,0.8975420571
56,rollerblade,Huang et al.,SSIM,0.8953765601
57,kid-football,Huang et al.,SSIM,0.9271208309
58,drift-chicane,Huang et al.,SSIM,0.91347968
59,lucia,Huang et al.,SSIM,0.9573325657
60,color-run,Huang et al.,SSIM,0.9313966765
61,lab-coat,Huang et al.,SSIM,0.9140112748
62,hockey,Huang et al.,SSIM,0.9334606288
63,elephant,Huang et al.,SSIM,0.9392456478
64,dog-gooses,Huang et al.,SSIM,0.9206659935
65,planes-water,Huang et al.,SSIM,0.9470301082
66,india,Huang et al.,SSIM,0.9379072758
67,dog,Huang et al.,SSIM,0.9269252201
68,swing,Huang et al.,SSIM,0.9261573931
69,kite-surf,Huang et al.,SSIM,0.9071365198
70,mbike-trick,Huang et al.,SSIM,0.9229261986
71,pigs,Huang et al.,SSIM,0.9325744066
72,breakdance-flare,Huang et al.,SSIM,0.9219596582
1,boxing-fisheye,Xu et al.,SSIM,0.9241334874
2,longboard,Xu et al.,SSIM,0.9288004743
3,lady-running,Xu et al.,SSIM,0.9358815088
4,cat-girl,Xu et al.,SSIM,0.9192735893
5,walking,Xu et al.,SSIM,0.9237757669
6,scooter-black,Xu et al.,SSIM,0.9168676264
7,dogs-scale,Xu et al.,SSIM,0.92502318
8,rallye,Xu et al.,SSIM,0.8868193495
9,motorbike,Xu et al.,SSIM,0.9410928709
10,drift-straight,Xu et al.,SSIM,0.9315072267
11,mallard-water,Xu et al.,SSIM,0.8705987753
12,scooter-board,Xu et al.,SSIM,0.940566601
13,bear,Xu et al.,SSIM,0.8977752745
14,varanus-cage,Xu et al.,SSIM,0.9166457901
15,horsejump-low,Xu et al.,SSIM,0.9144995065
16,schoolgirls,Xu et al.,SSIM,0.8518807157
17,car-turn,Xu et al.,SSIM,0.9143411664
18,motocross-jump,Xu et al.,SSIM,0.9481259777
19,car-shadow,Xu et al.,SSIM,0.9356448607
20,tennis,Xu et al.,SSIM,0.9464010768
21,crossing,Xu et al.,SSIM,0.8877957229
22,bus,Xu et al.,SSIM,0.9390687477
23,motocross-bumps,Xu et al.,SSIM,0.9416936962
24,train,Xu et al.,SSIM,0.918521812
25,camel,Xu et al.,SSIM,0.9055444247
26,breakdance,Xu et al.,SSIM,0.8770807574
27,mallard-fly,Xu et al.,SSIM,0.9266849381
28,upside-down,Xu et al.,SSIM,0.914387439
29,classic-car,Xu et al.,SSIM,0.9207648288
30,gold-fish,Xu et al.,SSIM,0.9321273119
31,bike-packing,Xu et al.,SSIM,0.8888429952
32,paragliding-launch,Xu et al.,SSIM,0.9446260914
33,bmx-trees,Xu et al.,SSIM,0.9391628138
34,flamingo,Xu et al.,SSIM,0.9238721528
35,tractor-sand,Xu et al.,SSIM,0.9309585701
36,dogs-jump,Xu et al.,SSIM,0.9377498672
37,horsejump-high,Xu et al.,SSIM,0.9406280038
38,dog-agility,Xu et al.,SSIM,0.8950807242
39,disc-jockey,Xu et al.,SSIM,0.9282847213
40,hike,Xu et al.,SSIM,0.9154929405
41,miami-surf,Xu et al.,SSIM,0.9388838437
42,dance-jump,Xu et al.,SSIM,0.9194638706
43,lindy-hop,Xu et al.,SSIM,0.9064711488
44,tuk-tuk,Xu et al.,SSIM,0.9084427771
45,judo,Xu et al.,SSIM,0.9374839495
46,blackswan,Xu et al.,SSIM,0.9208329833
47,boat,Xu et al.,SSIM,0.9231701587
48,car-roundabout,Xu et al.,SSIM,0.9356232423
49,loading,Xu et al.,SSIM,0.9315393865
50,night-race,Xu et al.,SSIM,0.9346130746
51,dancing,Xu et al.,SSIM,0.8757475951
52,paragliding,Xu et al.,SSIM,0.9463679511
53,kite-walk,Xu et al.,SSIM,0.9332893481
54,libby,Xu et al.,SSIM,0.9348153044
55,drift-turn,Xu et al.,SSIM,0.9340058616
56,rollerblade,Xu et al.,SSIM,0.9099331727
57,kid-football,Xu et al.,SSIM,0.9289703939
58,drift-chicane,Xu et al.,SSIM,0.9167102278
59,lucia,Xu et al.,SSIM,0.9183423296
60,color-run,Xu et al.,SSIM,0.9248612006
61,lab-coat,Xu et al.,SSIM,0.9209156494
62,hockey,Xu et al.,SSIM,0.9388117214
63,elephant,Xu et al.,SSIM,0.9304751761
64,dog-gooses,Xu et al.,SSIM,0.9010859911
65,planes-water,Xu et al.,SSIM,0.9383142533
66,india,Xu et al.,SSIM,0.9427924418
67,dog,Xu et al.,SSIM,0.9295466396
68,swing,Xu et al.,SSIM,0.9366478223
69,kite-surf,Xu et al.,SSIM,0.9268003966
70,mbike-trick,Xu et al.,SSIM,0.9164470448
71,pigs,Xu et al.,SSIM,0.9192166814
72,breakdance-flare,Xu et al.,SSIM,0.8989672872
1,boxing-fisheye,Newson et al.,SSIM,0.9102021023
2,longboard,Newson et al.,SSIM,0.8905858452
3,lady-running,Newson et al.,SSIM,0.9200551071
4,cat-girl,Newson et al.,SSIM,0.8743953271
5,walking,Newson et al.,SSIM,0.9063041923
6,scooter-black,Newson et al.,SSIM,0.9002535047
7,dogs-scale,Newson et al.,SSIM,0.9120724693
8,rallye,Newson et al.,SSIM,0.8760280265
9,motorbike,Newson et al.,SSIM,0.9146676335
10,drift-straight,Newson et al.,SSIM,0.8885222672
11,mallard-water,Newson et al.,SSIM,0.8755786432
12,scooter-board,Newson et al.,SSIM,0.9227020949
13,bear,Newson et al.,SSIM,0.8879805793
14,varanus-cage,Newson et al.,SSIM,0.8841341126
15,horsejump-low,Newson et al.,SSIM,0.8668467895
16,schoolgirls,Newson et al.,SSIM,0.8366270655
17,car-turn,Newson et al.,SSIM,0.8912469466
18,motocross-jump,Newson et al.,SSIM,0.9214246867
19,car-shadow,Newson et al.,SSIM,0.924129216
20,tennis,Newson et al.,SSIM,0.9077471439
21,crossing,Newson et al.,SSIM,0.8677833305
22,bus,Newson et al.,SSIM,0.8950259684
23,motocross-bumps,Newson et al.,SSIM,0.906345419
24,train,Newson et al.,SSIM,0.8821719615
25,camel,Newson et al.,SSIM,0.8835525049
26,breakdance,Newson et al.,SSIM,0.8590130556
27,mallard-fly,Newson et al.,SSIM,0.8687042286
28,upside-down,Newson et al.,SSIM,0.8930489513
29,classic-car,Newson et al.,SSIM,0.908978744
30,gold-fish,Newson et al.,SSIM,0.9000687762
31,bike-packing,Newson et al.,SSIM,0.8815343301
32,paragliding-launch,Newson et al.,SSIM,0.8904007379
33,bmx-trees,Newson et al.,SSIM,0.8819652763
34,flamingo,Newson et al.,SSIM,0.9058934853
35,tractor-sand,Newson et al.,SSIM,0.8948828069
36,dogs-jump,Newson et al.,SSIM,0.9188857425
37,horsejump-high,Newson et al.,SSIM,0.9017246935
38,dog-agility,Newson et al.,SSIM,0.8723025144
39,disc-jockey,Newson et al.,SSIM,0.9583924536
40,hike,Newson et al.,SSIM,0.8831504357
41,miami-surf,Newson et al.,SSIM,0.950012695
42,dance-jump,Newson et al.,SSIM,0.8693691807
43,lindy-hop,Newson et al.,SSIM,0.8971807619
44,tuk-tuk,Newson et al.,SSIM,0.8906442109
45,judo,Newson et al.,SSIM,0.9268936711
46,blackswan,Newson et al.,SSIM,0.8958768545
47,boat,Newson et al.,SSIM,0.9088403401
48,car-roundabout,Newson et al.,SSIM,0.9134729734
49,loading,Newson et al.,SSIM,0.9033338728
50,night-race,Newson et al.,SSIM,0.9413945044
51,dancing,Newson et al.,SSIM,0.8655408627
52,paragliding,Newson et al.,SSIM,0.8919584165
53,kite-walk,Newson et al.,SSIM,0.9019163403
54,libby,Newson et al.,SSIM,0.9039572567
55,drift-turn,Newson et al.,SSIM,0.8981322902
56,rollerblade,Newson et al.,SSIM,0.8826259081
57,kid-football,Newson et al.,SSIM,0.9244784733
58,drift-chicane,Newson et al.,SSIM,0.916748272
59,lucia,Newson et al.,SSIM,0.8964081645
60,color-run,Newson et al.,SSIM,0.9293548348
61,lab-coat,Newson et al.,SSIM,0.8978652101
62,hockey,Newson et al.,SSIM,0.905488669
63,elephant,Newson et al.,SSIM,0.9034172835
64,dog-gooses,Newson et al.,SSIM,0.8749428799
65,planes-water,Newson et al.,SSIM,0.946052269
66,india,Newson et al.,SSIM,0.916812599
67,dog,Newson et al.,SSIM,0.869550152
68,swing,Newson et al.,SSIM,0.8833749774
69,kite-surf,Newson et al.,SSIM,0.9057123602
70,mbike-trick,Newson et al.,SSIM,0.917554269
71,pigs,Newson et al.,SSIM,0.9000472774
72,breakdance-flare,Newson et al.,SSIM,0.8622447349
1,boxing-fisheye,Kim et al.,SSIM,0.8170951111
2,longboard,Kim et al.,SSIM,0.8124634421
3,lady-running,Kim et al.,SSIM,0.8795289949
4,cat-girl,Kim et al.,SSIM,0.8098470887
5,walking,Kim et al.,SSIM,0.83711224
6,scooter-black,Kim et al.,SSIM,0.8041017607
7,dogs-scale,Kim et al.,SSIM,0.8559409069
8,rallye,Kim et al.,SSIM,0.6638227534
9,motorbike,Kim et al.,SSIM,0.8220598252
10,drift-straight,Kim et al.,SSIM,0.8385974426
11,mallard-water,Kim et al.,SSIM,0.769706055
12,scooter-board,Kim et al.,SSIM,0.8792941596
13,bear,Kim et al.,SSIM,0.6647311799
14,varanus-cage,Kim et al.,SSIM,0.7508375161
15,horsejump-low,Kim et al.,SSIM,0.6696498792
16,schoolgirls,Kim et al.,SSIM,0.5037197889
17,car-turn,Kim et al.,SSIM,0.7427727945
18,motocross-jump,Kim et al.,SSIM,0.8774928611
19,car-shadow,Kim et al.,SSIM,0.8246329371
20,tennis,Kim et al.,SSIM,0.8380967881
21,crossing,Kim et al.,SSIM,0.6329653297
22,bus,Kim et al.,SSIM,0.8080373722
23,motocross-bumps,Kim et al.,SSIM,0.8456771847
24,train,Kim et al.,SSIM,0.7026488543
25,camel,Kim et al.,SSIM,0.6574815631
26,breakdance,Kim et al.,SSIM,0.6873329578
27,mallard-fly,Kim et al.,SSIM,0.772756305
28,upside-down,Kim et al.,SSIM,0.782511164
29,classic-car,Kim et al.,SSIM,0.8200098552
30,gold-fish,Kim et al.,SSIM,0.83572476
31,bike-packing,Kim et al.,SSIM,0.6952915851
32,paragliding-launch,Kim et al.,SSIM,0.7716027074
33,bmx-trees,Kim et al.,SSIM,0.8178009393
34,flamingo,Kim et al.,SSIM,0.7863429301
35,tractor-sand,Kim et al.,SSIM,0.7748145612
36,dogs-jump,Kim et al.,SSIM,0.8174460957
37,horsejump-high,Kim et al.,SSIM,0.8092295047
38,dog-agility,Kim et al.,SSIM,0.7176008144
39,disc-jockey,Kim et al.,SSIM,0.9406691477
40,hike,Kim et al.,SSIM,0.6229912071
41,miami-surf,Kim et al.,SSIM,0.9256083098
42,dance-jump,Kim et al.,SSIM,0.7653340378
43,lindy-hop,Kim et al.,SSIM,0.8042258248
44,tuk-tuk,Kim et al.,SSIM,0.7871570586
45,judo,Kim et al.,SSIM,0.8659156824
46,blackswan,Kim et al.,SSIM,0.7846865773
47,boat,Kim et al.,SSIM,0.7925621833
48,car-roundabout,Kim et al.,SSIM,0.7781194702
49,loading,Kim et al.,SSIM,0.8231640678
50,night-race,Kim et al.,SSIM,0.8662853334
51,dancing,Kim et al.,SSIM,0.7473917507
52,paragliding,Kim et al.,SSIM,0.8096308879
53,kite-walk,Kim et al.,SSIM,0.8342336868
54,libby,Kim et al.,SSIM,0.8505398333
55,drift-turn,Kim et al.,SSIM,0.7797057638
56,rollerblade,Kim et al.,SSIM,0.7249365528
57,kid-football,Kim et al.,SSIM,0.8181836427
58,drift-chicane,Kim et al.,SSIM,0.8111011733
59,lucia,Kim et al.,SSIM,0.6919726839
60,color-run,Kim et al.,SSIM,0.8874894418
61,lab-coat,Kim et al.,SSIM,0.7910562476
62,hockey,Kim et al.,SSIM,0.8441448375
63,elephant,Kim et al.,SSIM,0.7442616833
64,dog-gooses,Kim et al.,SSIM,0.6385852378
65,planes-water,Kim et al.,SSIM,0.9265014463
66,india,Kim et al.,SSIM,0.8733545898
67,dog,Kim et al.,SSIM,0.8096621768
68,swing,Kim et al.,SSIM,0.797698777
69,kite-surf,Kim et al.,SSIM,0.8275692674
70,mbike-trick,Kim et al.,SSIM,0.782907994
71,pigs,Kim et al.,SSIM,0.7665819966
72,breakdance-flare,Kim et al.,SSIM,0.6296896814
1,boxing-fisheye,Oh et al.,SSIM,0.9226206658
2,longboard,Oh et al.,SSIM,0.905500833
3,lady-running,Oh et al.,SSIM,0.945501174
4,cat-girl,Oh et al.,SSIM,0.9115268086
5,walking,Oh et al.,SSIM,0.9324136173
6,scooter-black,Oh et al.,SSIM,0.8938859106
7,dogs-scale,Oh et al.,SSIM,0.936707671
8,rallye,Oh et al.,SSIM,0.8175570622
9,motorbike,Oh et al.,SSIM,0.9152051461
10,drift-straight,Oh et al.,SSIM,0.9102693845
11,mallard-water,Oh et al.,SSIM,0.8746228817
12,scooter-board,Oh et al.,SSIM,0.938709222
13,bear,Oh et al.,SSIM,0.847746439
14,varanus-cage,Oh et al.,SSIM,0.8769371729
15,horsejump-low,Oh et al.,SSIM,0.8314182884
16,schoolgirls,Oh et al.,SSIM,0.7161775334
17,car-turn,Oh et al.,SSIM,0.8767469535
18,motocross-jump,Oh et al.,SSIM,0.9487381433
19,car-shadow,Oh et al.,SSIM,0.9125985178
20,tennis,Oh et al.,SSIM,0.9281487779
21,crossing,Oh et al.,SSIM,0.792636736
22,bus,Oh et al.,SSIM,0.908213228
23,motocross-bumps,Oh et al.,SSIM,0.9240639331
24,train,Oh et al.,SSIM,0.8682169048
25,camel,Oh et al.,SSIM,0.8538773295
26,breakdance,Oh et al.,SSIM,0.8371715243
27,mallard-fly,Oh et al.,SSIM,0.886713198
28,upside-down,Oh et al.,SSIM,0.8870317918
29,classic-car,Oh et al.,SSIM,0.9162038024
30,gold-fish,Oh et al.,SSIM,0.9338385566
31,bike-packing,Oh et al.,SSIM,0.8458824295
32,paragliding-launch,Oh et al.,SSIM,0.8924746504
33,bmx-trees,Oh et al.,SSIM,0.906193654
34,flamingo,Oh et al.,SSIM,0.8993466195
35,tractor-sand,Oh et al.,SSIM,0.8911956845
36,dogs-jump,Oh et al.,SSIM,0.9097048176
37,horsejump-high,Oh et al.,SSIM,0.9032707004
38,dog-agility,Oh et al.,SSIM,0.893734258
39,disc-jockey,Oh et al.,SSIM,0.981710579
40,hike,Oh et al.,SSIM,0.8054257489
41,miami-surf,Oh et al.,SSIM,0.9644839692
42,dance-jump,Oh et al.,SSIM,0.8871595376
43,lindy-hop,Oh et al.,SSIM,0.9065885716
44,tuk-tuk,Oh et al.,SSIM,0.8992673765
45,judo,Oh et al.,SSIM,0.9360465872
46,blackswan,Oh et al.,SSIM,0.8967687479
47,boat,Oh et al.,SSIM,0.8920022334
48,car-roundabout,Oh et al.,SSIM,0.8887744808
49,loading,Oh et al.,SSIM,0.9237405452
50,night-race,Oh et al.,SSIM,0.9527631062
51,dancing,Oh et al.,SSIM,0.881730639
52,paragliding,Oh et al.,SSIM,0.9166087486
53,kite-walk,Oh et al.,SSIM,0.9174608837
54,libby,Oh et al.,SSIM,0.9136373362
55,drift-turn,Oh et al.,SSIM,0.8824005569
56,rollerblade,Oh et al.,SSIM,0.8659879984
57,kid-football,Oh et al.,SSIM,0.9073888654
58,drift-chicane,Oh et al.,SSIM,0.9023571198
59,lucia,Oh et al.,SSIM,0.8689692754
60,color-run,Oh et al.,SSIM,0.9554726125
61,lab-coat,Oh et al.,SSIM,0.8938317774
62,hockey,Oh et al.,SSIM,0.927324072
63,elephant,Oh et al.,SSIM,0.8800663504
64,dog-gooses,Oh et al.,SSIM,0.7963787412
65,planes-water,Oh et al.,SSIM,0.9634373007
66,india,Oh et al.,SSIM,0.9444237968
67,dog,Oh et al.,SSIM,0.9002401088
68,swing,Oh et al.,SSIM,0.9066174282
69,kite-surf,Oh et al.,SSIM,0.9048537151
70,mbike-trick,Oh et al.,SSIM,0.8818310636
71,pigs,Oh et al.,SSIM,0.8880182674
72,breakdance-flare,Oh et al.,SSIM,0.8205972802
1,boxing-fisheye,Our Result,LPIPS,0.03445502298
2,longboard,Our Result,LPIPS,0.05762036711
3,lady-running,Our Result,LPIPS,0.03040387257
4,cat-girl,Our Result,LPIPS,0.03648957077
5,walking,Our Result,LPIPS,0.05673624219
6,scooter-black,Our Result,LPIPS,0.04241277064
7,dogs-scale,Our Result,LPIPS,0.0466055156
8,rallye,Our Result,LPIPS,0.1567075104
9,motorbike,Our Result,LPIPS,0.02846173474
10,drift-straight,Our Result,LPIPS,0.03517767559
11,mallard-water,Our Result,LPIPS,0.08747884325
12,scooter-board,Our Result,LPIPS,0.03493499523
13,bear,Our Result,LPIPS,0.03249593121
14,varanus-cage,Our Result,LPIPS,0.04796511944
15,horsejump-low,Our Result,LPIPS,0.03071236951
16,schoolgirls,Our Result,LPIPS,0.113160652
17,car-turn,Our Result,LPIPS,0.02895851323
18,motocross-jump,Our Result,LPIPS,0.05669603345
19,car-shadow,Our Result,LPIPS,0.01847726697
20,tennis,Our Result,LPIPS,0.02034453345
21,crossing,Our Result,LPIPS,0.09651848406
22,bus,Our Result,LPIPS,0.03392723659
23,motocross-bumps,Our Result,LPIPS,0.05037704733
24,train,Our Result,LPIPS,0.02786901393
25,camel,Our Result,LPIPS,0.02636268252
26,breakdance,Our Result,LPIPS,0.1072577628
27,mallard-fly,Our Result,LPIPS,0.0461885292
28,upside-down,Our Result,LPIPS,0.04843860542
29,classic-car,Our Result,LPIPS,0.05338922485
30,gold-fish,Our Result,LPIPS,0.03919781847
31,bike-packing,Our Result,LPIPS,0.06792686607
32,paragliding-launch,Our Result,LPIPS,0.02259276318
33,bmx-trees,Our Result,LPIPS,0.02579118599
34,flamingo,Our Result,LPIPS,0.03658964256
35,tractor-sand,Our Result,LPIPS,0.0225970358
36,dogs-jump,Our Result,LPIPS,0.04789771611
37,horsejump-high,Our Result,LPIPS,0.02331602538
38,dog-agility,Our Result,LPIPS,0.1006624799
39,disc-jockey,Our Result,LPIPS,0.03260734924
40,hike,Our Result,LPIPS,0.03044993891
41,miami-surf,Our Result,LPIPS,0.03222572927
42,dance-jump,Our Result,LPIPS,0.04155402553
43,lindy-hop,Our Result,LPIPS,0.06023979292
44,tuk-tuk,Our Result,LPIPS,0.05850219563
45,judo,Our Result,LPIPS,0.08659266168
46,blackswan,Our Result,LPIPS,0.03761973465
47,boat,Our Result,LPIPS,0.04106218934
48,car-roundabout,Our Result,LPIPS,0.02606057562
49,loading,Our Result,LPIPS,0.02920877885
50,night-race,Our Result,LPIPS,0.03662313847
51,dancing,Our Result,LPIPS,0.08134442021
52,paragliding,Our Result,LPIPS,0.01970537337
53,kite-walk,Our Result,LPIPS,0.0338677108
54,libby,Our Result,LPIPS,0.02175331068
55,drift-turn,Our Result,LPIPS,0.04603442243
56,rollerblade,Our Result,LPIPS,0.06742595757
57,kid-football,Our Result,LPIPS,0.06728155143
58,drift-chicane,Our Result,LPIPS,0.1196699573
59,lucia,Our Result,LPIPS,0.02200049504
60,color-run,Our Result,LPIPS,0.04544948462
61,lab-coat,Our Result,LPIPS,0.04178375966
62,hockey,Our Result,LPIPS,0.02759207402
63,elephant,Our Result,LPIPS,0.02878603903
64,dog-gooses,Our Result,LPIPS,0.04431417762
65,planes-water,Our Result,LPIPS,0.107890847
66,india,Our Result,LPIPS,0.03473097878
67,dog,Our Result,LPIPS,0.06279297571
68,swing,Our Result,LPIPS,0.02426158351
69,kite-surf,Our Result,LPIPS,0.04205491809
70,mbike-trick,Our Result,LPIPS,0.0455431606
71,pigs,Our Result,LPIPS,0.04445161477
72,breakdance-flare,Our Result,LPIPS,0.06283751281
1,boxing-fisheye,Lee et al.,LPIPS,0.08954660691
2,longboard,Lee et al.,LPIPS,0.1309783025
3,lady-running,Lee et al.,LPIPS,0.09310394573
4,cat-girl,Lee et al.,LPIPS,0.1167197364
5,walking,Lee et al.,LPIPS,0.1030703819
6,scooter-black,Lee et al.,LPIPS,0.1059215696
7,dogs-scale,Lee et al.,LPIPS,0.09087919223
8,rallye,Lee et al.,LPIPS,0.1389643378
9,motorbike,Lee et al.,LPIPS,0.140310324
10,drift-straight,Lee et al.,LPIPS,0.08582694603
11,mallard-water,Lee et al.,LPIPS,0.1281803929
12,scooter-board,Lee et al.,LPIPS,0.07810831903
13,bear,Lee et al.,LPIPS,0.1409479987
14,varanus-cage,Lee et al.,LPIPS,0.1125792095
