,video,method,metric_name,metric_value
60,color-run,Lee et al.,PSNR,27.68794064
61,lab-coat,Lee et al.,PSNR,34.88922616
62,hockey,Lee et al.,PSNR,32.98942486
63,elephant,Lee et al.,PSNR,33.46688158
64,dog-gooses,Lee et al.,PSNR,28.6017777
65,planes-water,Lee et al.,PSNR,28.23903641
66,india,Lee et al.,PSNR,28.28767925
67,dog,Lee et al.,PSNR,28.70731277
68,swing,Lee et al.,PSNR,29.80383791
69,kite-surf,Lee et al.,PSNR,29.78913104
70,mbike-trick,Lee et al.,PSNR,31.69361784
71,pigs,Lee et al.,PSNR,36.29175427
72,breakdance-flare,Lee et al.,PSNR,32.14706823
1,boxing-fisheye,Huang et al.,PSNR,21.40359868
2,longboard,Huang et al.,PSNR,22.08019555
3,lady-running,Huang et al.,PSNR,22.68494699
4,cat-girl,Huang et al.,PSNR,22.01282456
5,walking,Huang et al.,PSNR,21.85100269
6,scooter-black,Huang et al.,PSNR,23.18021718
7,dogs-scale,Huang et al.,PSNR,24.23134304
8,rallye,Huang et al.,PSNR,23.58497949
9,motorbike,Huang et al.,PSNR,25.412679
10,drift-straight,Huang et al.,PSNR,25.13294689
11,mallard-water,Huang et al.,PSNR,23.84020781
12,scooter-board,Huang et al.,PSNR,25.92877053
13,bear,Huang et al.,PSNR,25.94753397
14,varanus-cage,Huang et al.,PSNR,24.1708738
15,horsejump-low,Huang et al.,PSNR,25.33382961
16,schoolgirls,Huang et al.,PSNR,28.84759477
17,car-turn,Huang et al.,PSNR,26.40144466
18,motocross-jump,Huang et al.,PSNR,27.22771537
19,car-shadow,Huang et al.,PSNR,27.76166641
20,tennis,Huang et al.,PSNR,26.42125169
21,crossing,Huang et al.,PSNR,26.96347291
22,bus,Huang et al.,PSNR,26.94337313
23,motocross-bumps,Huang et al.,PSNR,27.96221537
24,train,Huang et al.,PSNR,28.43365403
25,camel,Huang et al.,PSNR,28.11226441
26,breakdance,Huang et al.,PSNR,28.96634617
27,mallard-fly,Huang et al.,PSNR,28.25250697
28,upside-down,Huang et al.,PSNR,28.17171071
29,classic-car,Huang et al.,PSNR,30.10194377
30,gold-fish,Huang et al.,PSNR,25.75999813
31,bike-packing,Huang et al.,PSNR,27.07584442
32,paragliding-launch,Huang et al.,PSNR,29.46439099
33,bmx-trees,Huang et al.,PSNR,28.82895625
34,flamingo,Huang et al.,PSNR,25.5329187
35,tractor-sand,Huang et al.,PSNR,27.99275863
36,dogs-jump,Huang et al.,PSNR,30.20871474
37,horsejump-high,Huang et al.,PSNR,27.60127775
38,dog-agility,Huang et al.,PSNR,29.05991176
39,disc-jockey,Huang et al.,PSNR,28.13064765
40,hike,Huang et al.,PSNR,29.96656002
41,miami-surf,Huang et al.,PSNR,28.48247586
42,dance-jump,Huang et al.,PSNR,30.30118994
43,lindy-hop,Huang et al.,PSNR,29.48351792
44,tuk-tuk,Huang et al.,PSNR,29.56123141
45,judo,Huang et al.,PSNR,30.30056677
46,blackswan,Huang et al.,PSNR,29.72979172
47,boat,Huang et al.,PSNR,29.88453805
48,car-roundabout,Huang et al.,PSNR,28.78259934
49,loading,Huang et al.,PSNR,29.83307756
50,night-race,Huang et al.,PSNR,29.2864787
51,dancing,Huang et al.,PSNR,31.91987065
52,paragliding,Huang et al.,PSNR,30.16313722
53,kite-walk,Huang et al.,PSNR,29.79866116
54,libby,Huang et al.,PSNR,30.47735037
55,drift-turn,Huang et al.,PSNR,29.46524964
56,rollerblade,Huang et al.,PSNR,27.63213898
57,kid-football,Huang et al.,PSNR,28.426769
58,drift-chicane,Huang et al.,PSNR,30.40484142
59,lucia,Huang et al.,PSNR,31.80414756
60,color-run,Huang et al.,PSNR,30.73178677
61,lab-coat,Huang et al.,PSNR,31.50631929
62,hockey,Huang et al.,PSNR,31.32281986
63,elephant,Huang et al.,PSNR,32.40027658
64,dog-gooses,Huang et al.,PSNR,30.97174905
65,planes-water,Huang et al.,PSNR,28.70656568
66,india,Huang et al.,PSNR,30.49320555
67,dog,Huang et al.,PSNR,32.34337091
68,swing,Huang et al.,PSNR,32.20687859
69,kite-surf,Huang et al.,PSNR,32.14656822
70,mbike-trick,Huang et al.,PSNR,31.70903334
71,pigs,Huang et al.,PSNR,31.29004758
72,breakdance-flare,Huang et al.,PSNR,36.52936379
1,boxing-fisheye,Xu et al.,PSNR,20.14780673
2,longboard,Xu et al.,PSNR,21.58063663
3,lady-running,Xu et al.,PSNR,21.47898702
4,cat-girl,Xu et al.,PSNR,22.50437279
5,walking,Xu et al.,PSNR,22.43108194
6,scooter-black,Xu et al.,PSNR,21.96329504
7,dogs-scale,Xu et al.,PSNR,22.39363294
8,rallye,Xu et al.,PSNR,23.68317625
9,motorbike,Xu et al.,PSNR,25.02516716
10,drift-straight,Xu et al.,PSNR,23.81950568
11,mallard-water,Xu et al.,PSNR,23.38410669
12,scooter-board,Xu et al.,PSNR,26.62564443
13,bear,Xu et al.,PSNR,23.58434019
14,varanus-cage,Xu et al.,PSNR,24.7562234
15,horsejump-low,Xu et al.,PSNR,25.74923355
16,schoolgirls,Xu et al.,PSNR,27.86027304
17,car-turn,Xu et al.,PSNR,24.8597375
18,motocross-jump,Xu et al.,PSNR,26.1953526
19,car-shadow,Xu et al.,PSNR,28.16668565
20,tennis,Xu et al.,PSNR,25.6345892
21,crossing,Xu et al.,PSNR,26.65615675
22,bus,Xu et al.,PSNR,26.10269925
23,motocross-bumps,Xu et al.,PSNR,26.90723002
24,train,Xu et al.,PSNR,26.64120096
25,camel,Xu et al.,PSNR,25.93326394
26,breakdance,Xu et al.,PSNR,28.71674651
27,mallard-fly,Xu et al.,PSNR,27.09075621
28,upside-down,Xu et al.,PSNR,27.53962525
29,classic-car,Xu et al.,PSNR,28.93432297
30,gold-fish,Xu et al.,PSNR,26.63610686
31,bike-packing,Xu et al.,PSNR,27.681378
32,paragliding-launch,Xu et al.,PSNR,27.07290322
33,bmx-trees,Xu et al.,PSNR,26.59232432
34,flamingo,Xu et al.,PSNR,26.74610248
35,tractor-sand,Xu et al.,PSNR,27.42966493
36,dogs-jump,Xu et al.,PSNR,27.0328781
37,horsejump-high,Xu et al.,PSNR,27.03368966
38,dog-agility,Xu et al.,PSNR,27.28279196
39,disc-jockey,Xu et al.,PSNR,29.1926018
40,hike,Xu et al.,PSNR,27.36401188
41,miami-surf,Xu et al.,PSNR,27.18718665
42,dance-jump,Xu et al.,PSNR,28.92869425
43,lindy-hop,Xu et al.,PSNR,27.78196124
44,tuk-tuk,Xu et al.,PSNR,30.19486525
45,judo,Xu et al.,PSNR,26.93131998
46,blackswan,Xu et al.,PSNR,29.46882628
47,boat,Xu et al.,PSNR,26.43652569
48,car-roundabout,Xu et al.,PSNR,27.42432208
49,loading,Xu et al.,PSNR,28.32773481
50,night-race,Xu et al.,PSNR,29.38615242
51,dancing,Xu et al.,PSNR,30.24217488
52,paragliding,Xu et al.,PSNR,27.27462466
53,kite-walk,Xu et al.,PSNR,29.66701302
54,libby,Xu et al.,PSNR,30.52422277
55,drift-turn,Xu et al.,PSNR,26.95281479
56,rollerblade,Xu et al.,PSNR,30.17963924
57,kid-football,Xu et al.,PSNR,29.36047966
58,drift-chicane,Xu et al.,PSNR,29.65176846
59,lucia,Xu et al.,PSNR,31.42081532
60,color-run,Xu et al.,PSNR,26.47662201
61,lab-coat,Xu et al.,PSNR,31.9615624
62,hockey,Xu et al.,PSNR,29.67273499
63,elephant,Xu et al.,PSNR,27.64198423
64,dog-gooses,Xu et al.,PSNR,29.26000218
65,planes-water,Xu et al.,PSNR,28.99236581
66,india,Xu et al.,PSNR,28.51667947
67,dog,Xu et al.,PSNR,28.54851434
68,swing,Xu et al.,PSNR,31.62700029
69,kite-surf,Xu et al.,PSNR,29.41765459
70,mbike-trick,Xu et al.,PSNR,29.77822429
71,pigs,Xu et al.,PSNR,26.74845129
72,breakdance-flare,Xu et al.,PSNR,33.87594954
1,boxing-fisheye,Newson et al.,PSNR,21.08510438
2,longboard,Newson et al.,PSNR,21.9135167
3,lady-running,Newson et al.,PSNR,22.36730081
4,cat-girl,Newson et al.,PSNR,21.95631001
5,walking,Newson et al.,PSNR,21.55628335
6,scooter-black,Newson et al.,PSNR,22.28849022
7,dogs-scale,Newson et al.,PSNR,23.5626482
8,rallye,Newson et al.,PSNR,22.82338502
9,motorbike,Newson et al.,PSNR,24.23014583
10,drift-straight,Newson et al.,PSNR,24.39923042
11,mallard-water,Newson et al.,PSNR,23.50926652
12,scooter-board,Newson et al.,PSNR,24.97485023
13,bear,Newson et al.,PSNR,24.96519688
14,varanus-cage,Newson et al.,PSNR,24.70404074
15,horsejump-low,Newson et al.,PSNR,24.98093431
16,schoolgirls,Newson et al.,PSNR,29.81322128
17,car-turn,Newson et al.,PSNR,25.52355842
18,motocross-jump,Newson et al.,PSNR,27.07144418
19,car-shadow,Newson et al.,PSNR,26.05283493
20,tennis,Newson et al.,PSNR,25.76773533
21,crossing,Newson et al.,PSNR,24.60636123
22,bus,Newson et al.,PSNR,24.90806262
23,motocross-bumps,Newson et al.,PSNR,26.46350138
24,train,Newson et al.,PSNR,26.75414683
25,camel,Newson et al.,PSNR,24.94478252
26,breakdance,Newson et al.,PSNR,26.32842368
27,mallard-fly,Newson et al.,PSNR,26.87845633
28,upside-down,Newson et al.,PSNR,25.94425539
29,classic-car,Newson et al.,PSNR,30.67312716
30,gold-fish,Newson et al.,PSNR,25.31846916
31,bike-packing,Newson et al.,PSNR,27.32832167
32,paragliding-launch,Newson et al.,PSNR,26.3511411
33,bmx-trees,Newson et al.,PSNR,26.81973068
34,flamingo,Newson et al.,PSNR,24.21434616
35,tractor-sand,Newson et al.,PSNR,25.98796974
36,dogs-jump,Newson et al.,PSNR,27.80080517
37,horsejump-high,Newson et al.,PSNR,28.3031754
38,dog-agility,Newson et al.,PSNR,27.81577875
39,disc-jockey,Newson et al.,PSNR,28.87206434
40,hike,Newson et al.,PSNR,26.00220854
41,miami-surf,Newson et al.,PSNR,28.78257375
42,dance-jump,Newson et al.,PSNR,28.33375634
43,lindy-hop,Newson et al.,PSNR,26.93056714
44,tuk-tuk,Newson et al.,PSNR,29.25725051
45,judo,Newson et al.,PSNR,26.25415511
46,blackswan,Newson et al.,PSNR,28.30586392
47,boat,Newson et al.,PSNR,26.28947666
48,car-roundabout,Newson et al.,PSNR,30.00659784
49,loading,Newson et al.,PSNR,27.25433576
50,night-race,Newson et al.,PSNR,28.24491803
51,dancing,Newson et al.,PSNR,31.75495257
52,paragliding,Newson et al.,PSNR,28.95383012
53,kite-walk,Newson et al.,PSNR,27.73763284
54,libby,Newson et al.,PSNR,30.90750641
55,drift-turn,Newson et al.,PSNR,28.45781125
56,rollerblade,Newson et al.,PSNR,28.20132476
57,kid-football,Newson et al.,PSNR,26.85208086
58,drift-chicane,Newson et al.,PSNR,29.53495962
59,lucia,Newson et al.,PSNR,29.7466437
60,color-run,Newson et al.,PSNR,27.02102683
61,lab-coat,Newson et al.,PSNR,31.38976866
62,hockey,Newson et al.,PSNR,31.92737983
63,elephant,Newson et al.,PSNR,32.83029329
64,dog-gooses,Newson et al.,PSNR,26.75552772
65,planes-water,Newson et al.,PSNR,28.16483992
66,india,Newson et al.,PSNR,28.18860393
67,dog,Newson et al.,PSNR,28.64061592
68,swing,Newson et al.,PSNR,27.81951867
69,kite-surf,Newson et al.,PSNR,30.74285408
70,mbike-trick,Newson et al.,PSNR,29.16620657
71,pigs,Newson et al.,PSNR,33.71638569
72,breakdance-flare,Newson et al.,PSNR,31.97994474
1,boxing-fisheye,Kim et al.,PSNR,18.32566314
2,longboard,Kim et al.,PSNR,19.73584388
3,lady-running,Kim et al.,PSNR,19.64076282
4,cat-girl,Kim et al.,PSNR,19.11841838
5,walking,Kim et al.,PSNR,19.13122271
6,scooter-black,Kim et al.,PSNR,20.87437997
7,dogs-scale,Kim et al.,PSNR,21.44949846
8,rallye,Kim et al.,PSNR,21.66078584
9,motorbike,Kim et al.,PSNR,22.26784972
10,drift-straight,Kim et al.,PSNR,21.39219934
11,mallard-water,Kim et al.,PSNR,21.31901103
12,scooter-board,Kim et al.,PSNR,21.39424986
13,bear,Kim et al.,PSNR,22.07056045
14,varanus-cage,Kim et al.,PSNR,21.94046511
15,horsejump-low,Kim et al.,PSNR,23.0484681
16,schoolgirls,Kim et al.,PSNR,26.03805141
17,car-turn,Kim et al.,PSNR,23.00661991
18,motocross-jump,Kim et al.,PSNR,23.40320381
19,car-shadow,Kim et al.,PSNR,25.11523121
20,tennis,Kim et al.,PSNR,23.2244811
21,crossing,Kim et al.,PSNR,23.77079137
22,bus,Kim et al.,PSNR,22.79983411
23,motocross-bumps,Kim et al.,PSNR,24.34446983
24,train,Kim et al.,PSNR,23.49855485
25,camel,Kim et al.,PSNR,23.51973018
26,breakdance,Kim et al.,PSNR,25.68137631
27,mallard-fly,Kim et al.,PSNR,23.80388779
28,upside-down,Kim et al.,PSNR,24.24510408
29,classic-car,Kim et al.,PSNR,26.95915621
30,gold-fish,Kim et al.,PSNR,24.29594133
31,bike-packing,Kim et al.,PSNR,24.95799272
32,paragliding-launch,Kim et al.,PSNR,23.10044184
33,bmx-trees,Kim et al.,PSNR,25.13214233
34,flamingo,Kim et al.,PSNR,23.87231939
35,tractor-sand,Kim et al.,PSNR,23.80749045
36,dogs-jump,Kim et al.,PSNR,24.47564717
37,horsejump-high,Kim et al.,PSNR,25.13375459
38,dog-agility,Kim et al.,PSNR,25.21660983
39,disc-jockey,Kim et al.,PSNR,25.62710722
40,hike,Kim et al.,PSNR,25.27606888
41,miami-surf,Kim et al.,PSNR,25.15281562
42,dance-jump,Kim et al.,PSNR,24.78055992
43,lindy-hop,Kim et al.,PSNR,24.22060453
44,tuk-tuk,Kim et al.,PSNR,27.31742927
45,judo,Kim et al.,PSNR,22.05928285
46,blackswan,Kim et al.,PSNR,26.76630213
47,boat,Kim et al.,PSNR,22.94620672
48,car-roundabout,Kim et al.,PSNR,25.15720303
49,loading,Kim et al.,PSNR,26.06381285
50,night-race,Kim et al.,PSNR,25.08269352
51,dancing,Kim et al.,PSNR,27.6641603
52,paragliding,Kim et al.,PSNR,24.77039792
53,kite-walk,Kim et al.,PSNR,26.10032751
54,libby,Kim et al.,PSNR,27.18205178
55,drift-turn,Kim et al.,PSNR,25.63361462
56,rollerblade,Kim et al.,PSNR,25.62214017
57,kid-football,Kim et al.,PSNR,25.54947012
58,drift-chicane,Kim et al.,PSNR,26.73042163
59,lucia,Kim et al.,PSNR,27.46348608
60,color-run,Kim et al.,PSNR,23.416616
61,lab-coat,Kim et al.,PSNR,30.65105063
62,hockey,Kim et al.,PSNR,29.56003586
63,elephant,Kim et al.,PSNR,28.40834749
64,dog-gooses,Kim et al.,PSNR,26.8730337
65,planes-water,Kim et al.,PSNR,26.75099955
66,india,Kim et al.,PSNR,24.90930475
67,dog,Kim et al.,PSNR,24.4851954
68,swing,Kim et al.,PSNR,28.68856191
69,kite-surf,Kim et al.,PSNR,29.20021858
70,mbike-trick,Kim et al.,PSNR,27.307014
71,pigs,Kim et al.,PSNR,30.88290687
72,breakdance-flare,Kim et al.,PSNR,29.32350858
1,boxing-fisheye,Oh et al.,PSNR,21.35216256
2,longboard,Oh et al.,PSNR,22.92616184
3,lady-running,Oh et al.,PSNR,22.48490505
4,cat-girl,Oh et al.,PSNR,22.33234469
5,walking,Oh et al.,PSNR,26.98137007
6,scooter-black,Oh et al.,PSNR,24.67898121
7,dogs-scale,Oh et al.,PSNR,25.17258038
8,rallye,Oh et al.,PSNR,25.40492168
9,motorbike,Oh et al.,PSNR,26.43531559
10,drift-straight,Oh et al.,PSNR,25.44172127
11,mallard-water,Oh et al.,PSNR,24.66829799
12,scooter-board,Oh et al.,PSNR,27.11738878
13,bear,Oh et al.,PSNR,27.82268884
14,varanus-cage,Oh et al.,PSNR,27.15860155
15,horsejump-low,Oh et al.,PSNR,28.5770383
16,schoolgirls,Oh et al.,PSNR,30.11993079
17,car-turn,Oh et al.,PSNR,27.57157465
18,motocross-jump,Oh et al.,PSNR,28.23591283
19,car-shadow,Oh et al.,PSNR,28.65988959
20,tennis,Oh et al.,PSNR,29.69699332
21,crossing,Oh et al.,PSNR,27.99014091
22,bus,Oh et al.,PSNR,26.62374594
23,motocross-bumps,Oh et al.,PSNR,28.52230544
24,train,Oh et al.,PSNR,26.83756048
25,camel,Oh et al.,PSNR,28.03632581
26,breakdance,Oh et al.,PSNR,29.36876692
27,mallard-fly,Oh et al.,PSNR,29.48330794
28,upside-down,Oh et al.,PSNR,27.65544222
29,classic-car,Oh et al.,PSNR,31.22901675
30,gold-fish,Oh et al.,PSNR,28.88476933
31,bike-packing,Oh et al.,PSNR,28.95641018
32,paragliding-launch,Oh et al.,PSNR,27.53893853
33,bmx-trees,Oh et al.,PSNR,29.58740572
34,flamingo,Oh et al.,PSNR,28.22212554
35,tractor-sand,Oh et al.,PSNR,27.11037767
36,dogs-jump,Oh et al.,PSNR,27.32523314
37,horsejump-high,Oh et al.,PSNR,31.96269035
38,dog-agility,Oh et al.,PSNR,29.10383066
39,disc-jockey,Oh et al.,PSNR,30.09049349
40,hike,Oh et al.,PSNR,29.13575921
41,miami-surf,Oh et al.,PSNR,31.4609157
42,dance-jump,Oh et al.,PSNR,30.23738067
43,lindy-hop,Oh et al.,PSNR,28.86343172
44,tuk-tuk,Oh et al.,PSNR,31.02860102
45,judo,Oh et al.,PSNR,25.74307266
46,blackswan,Oh et al.,PSNR,31.52495492
47,boat,Oh et al.,PSNR,27.25092022
48,car-roundabout,Oh et al.,PSNR,30.1187922
49,loading,Oh et al.,PSNR,30.42471446
50,night-race,Oh et al.,PSNR,31.121229
51,dancing,Oh et al.,PSNR,33.07764408
52,paragliding,Oh et al.,PSNR,29.84798189
53,kite-walk,Oh et al.,PSNR,30.2770169
54,libby,Oh et al.,PSNR,31.93590793
