index,ch1,ch2,ch3,ch4,ch5,acc
113,28.0,56.0,112.0,224.0,384.0,-1.10231
114,8.0,8.0,16.0,32.0,384.0,-2.13105
115,4.0,8.0,112.0,32.0,448.0,-2.00063
116,24.0,32.0,96.0,32.0,256.0,-1.13484
117,24.0,40.0,80.0,32.0,320.0,-1.22149
118,20.0,32.0,64.0,32.0,320.0,-1.24391
119,24.0,40.0,96.0,64.0,320.0,-1.208
120,20.0,8.0,96.0,32.0,384.0,-1.50062
121,24.0,48.0,80.0,160.0,384.0,-1.14882
122,24.0,48.0,64.0,192.0,320.0,-1.0999
123,28.0,56.0,80.0,224.0,384.0,-1.11918
124,24.0,56.0,64.0,192.0,320.0,-1.16764
125,24.0,24.0,80.0,32.0,384.0,-1.24245
126,28.0,56.0,32.0,32.0,64.0,-1.23185
127,24.0,48.0,64.0,160.0,256.0,-1.18049
128,12.0,8.0,32.0,32.0,192.0,-1.66302
129,4.0,56.0,112.0,32.0,64.0,-1.99324
130,4.0,16.0,16.0,32.0,448.0,-2.24023
131,24.0,56.0,112.0,224.0,448.0,-1.1092
132,4.0,56.0,32.0,224.0,64.0,-1.83936
133,24.0,56.0,80.0,160.0,320.0,-1.15287
134,4.0,56.0,16.0,192.0,64.0,-2.05431
135,24.0,32.0,80.0,32.0,384.0,-1.14628
136,4.0,8.0,16.0,32.0,448.0,-2.3645
137,20.0,8.0,64.0,32.0,320.0,-1.54784
138,28.0,56.0,80.0,160.0,384.0,-1.07962
139,28.0,56.0,96.0,192.0,448.0,-1.07726
140,20.0,8.0,80.0,32.0,384.0,-1.73345
141,4.0,8.0,112.0,32.0,384.0,-2.37506
142,4.0,56.0,16.0,224.0,128.0,-1.99476
143,24.0,56.0,64.0,128.0,320.0,-1.16414
144,24.0,48.0,80.0,96.0,320.0,-1.1259
145,28.0,48.0,112.0,224.0,384.0,-1.1333
146,28.0,56.0,80.0,192.0,448.0,-0.990403
147,4.0,16.0,112.0,32.0,448.0,-1.93293
148,28.0,56.0,96.0,192.0,384.0,-1.12216
149,24.0,56.0,80.0,192.0,320.0,-1.05272
