,membrane,pconv,pconv2d,small_pconv,small_pconv2d
0,0.039245907,0.05074182,0.05728966,0.055542424,0.06397878
1,0.0028503502,0.016217884,0.020617262,0.02177183,0.02365281
2,0.022262985,0.037436597,0.027748248,0.04272218,0.032703623
3,0.004089726,0.0059233927,0.011161655,0.009202154,0.012240944
4,0.008571673,0.010434931,0.022327263,0.008400509,0.027078547
5,0.009287124,0.016645212,0.013699612,0.018774306,0.011587085
6,0.001755185,0.0048908056,0.008986598,0.004286929,0.011708609
7,0.0047906125,0.01721166,0.03507822,0.019021232,0.041460037
8,5.54452e-05,0.00013172871,0.00019077552,0.0004464723,0.00051623717
9,0.040059283,0.03432393,0.065534435,0.03757413,0.07569469
10,0.032299794,0.039136387,0.05865456,0.037169285,0.0592542
11,0.017482862,0.032852873,0.042089917,0.033506185,0.04945965
12,0.00037991194,0.013415067,0.02184536,0.007449397,0.023185527
13,0.0028136095,0.012298357,0.029813733,0.01080484,0.03125236
14,0.0128533095,0.012861528,0.018884288,0.018687217,0.02232983
15,0.0025324426,0.008349938,0.013274069,0.007312243,0.017849788
16,0.0048850426,0.0046641077,0.0056199767,0.0056188107,0.0053491755
17,0.0001353807,0.00025818142,0.0001229294,0.00028962124,0.00014432758
18,0.0010393395,0.004177231,0.0053171664,0.0070922053,0.004405226
19,0.0,0.0,0.0,0.0,0.0
20,0.00022520527,0.0031481334,0.0025848306,0.002716836,0.0021854858
21,0.0005622826,0.001310041,0.00270787,0.0022502984,0.0028283815
22,0.0092633525,0.009727737,0.022841698,0.012851916,0.031447724
23,0.0075999196,0.0090189725,0.031436764,0.008590785,0.036387138
24,0.0071770335,0.014455572,0.011452126,0.013871118,0.013958614
25,0.017212424,0.030528821,0.03803654,0.033130348,0.04097933
26,0.021963596,0.06701702,0.06874969,0.051913533,0.0745849
27,4.9589646e-05,0.0026724685,0.0041223285,0.0036250036,0.004603777
28,0.000282495,0.0030047866,0.0041757664,0.003977635,0.0041839452
29,0.0046251793,0.029499663,0.023020187,0.03521215,0.022489728
30,0.0053778845,0.007830105,0.010588423,0.006672595,0.0117041925
31,0.0071579926,0.0070032384,0.024323557,0.008769421,0.023951875
32,0.003990803,0.008275874,0.0062150434,0.008748253,0.006930721
33,0.03721367,0.054746628,0.06174448,0.05392126,0.061370637
34,0.001030252,0.008089663,0.017590687,0.0039434778,0.022204515
35,0.0052071875,0.0064935586,0.009468141,0.0067673167,0.00927064
36,0.0070505165,0.012420174,0.010957753,0.011859856,0.01259121
37,5.2779737e-06,0.00088026485,0.0021570993,0.0010596548,0.002491791
38,0.0006213237,0.009427314,0.018308323,0.008693169,0.02152447
39,6.5076434e-05,0.0075124516,0.020037536,0.010372351,0.026139053
40,0.0034604524,0.022410547,0.012106821,0.020761907,0.012777724
41,0.016004145,0.021768257,0.025941525,0.02382,0.027753673
42,0.05730752,0.07676245,0.078456275,0.0662815,0.08265502
43,0.0,0.0,0.0,0.0,0.0
44,0.0019399591,0.019722762,0.01296518,0.02417475,0.013067326
45,0.006156247,0.005504063,0.019362845,0.0062239524,0.02681165
46,0.037496045,0.026154533,0.03501789,0.03237495,0.031955622
