video_id,video,method,metric_name,metric_value
9,motorbike,Huang,psnr,25.412679
10,drift-straight,Huang,psnr,25.13294689
11,mallard-water,Huang,psnr,23.84020781
12,scooter-board,Huang,psnr,25.92877053
13,bear,Huang,psnr,25.94753397
14,varanus-cage,Huang,psnr,24.1708738
15,horsejump-low,Huang,psnr,25.33382961
16,schoolgirls,Huang,psnr,28.84759477
17,car-turn,Huang,psnr,26.40144466
18,motocross-jump,Huang,psnr,27.22771537
19,car-shadow,Huang,psnr,27.76166641
20,tennis,Huang,psnr,26.42125169
21,crossing,Huang,psnr,26.96347291
22,bus,Huang,psnr,26.94337313
23,motocross-bumps,Huang,psnr,27.96221537
24,train,Huang,psnr,28.43365403
25,camel,Huang,psnr,28.11226441
26,breakdance,Huang,psnr,28.96634617
27,mallard-fly,Huang,psnr,28.25250697
28,upside-down,Huang,psnr,28.17171071
29,classic-car,Huang,psnr,30.10194377
30,gold-fish,Huang,psnr,25.75999813
31,bike-packing,Huang,psnr,27.07584442
32,paragliding-launch,Huang,psnr,29.46439099
33,bmx-trees,Huang,psnr,28.82895625
34,flamingo,Huang,psnr,25.5329187
35,tractor-sand,Huang,psnr,27.99275863
36,dogs-jump,Huang,psnr,30.20871474
37,horsejump-high,Huang,psnr,27.60127775
38,dog-agility,Huang,psnr,29.05991176
39,disc-jockey,Huang,psnr,28.13064765
40,hike,Huang,psnr,29.96656002
41,miami-surf,Huang,psnr,28.48247586
42,dance-jump,Huang,psnr,30.30118994
43,lindy-hop,Huang,psnr,29.48351792
44,tuk-tuk,Huang,psnr,29.56123141
45,judo,Huang,psnr,30.30056677
46,blackswan,Huang,psnr,29.72979172
47,boat,Huang,psnr,29.88453805
48,car-roundabout,Huang,psnr,28.78259934
49,loading,Huang,psnr,29.83307756
50,night-race,Huang,psnr,29.2864787
51,dancing,Huang,psnr,31.91987065
52,paragliding,Huang,psnr,30.16313722
53,kite-walk,Huang,psnr,29.79866116
54,libby,Huang,psnr,30.47735037
55,drift-turn,Huang,psnr,29.46524964
56,rollerblade,Huang,psnr,27.63213898
57,kid-football,Huang,psnr,28.426769
58,drift-chicane,Huang,psnr,30.40484142
59,lucia,Huang,psnr,31.80414756
60,color-run,Huang,psnr,30.73178677
61,lab-coat,Huang,psnr,31.50631929
62,hockey,Huang,psnr,31.32281986
63,elephant,Huang,psnr,32.40027658
64,dog-gooses,Huang,psnr,30.97174905
65,planes-water,Huang,psnr,28.70656568
66,india,Huang,psnr,30.49320555
